Player,Total Score,Goals,Expected Goals,Goals Above Expected,Penalties,Faceoff Wins,Faceoff Win Rate,Carried,Dumped,Total Entries,Successful Entries,Denials,Entry Rate,Denial Rate,Carried Rate,Dumped Rate,Shots,Shots on Net,Danger Zone Shots,Shot Accuracy
Brianne Jenner,510.34,0,3.04,-3.04,0,55,65.5,21,7,29,28,42,96.6,144.8,72.4,24.1,22,18,4,71.0
Marie-Philip Poulin,455.38,3,2.39,0.61,4,47,58.0,23,7,38,30,60,78.9,157.9,60.5,18.4,19,10,0,70.4
Rebecca Johnston,398.72,3,4.26,-1.26,1,0,0,32,12,47,44,47,93.6,100.0,68.1,25.5,36,22,5,83.7
Melodie Daoust,369.96,3,2.66,0.34,1,25,78.1,16,7,28,23,44,82.1,157.1,57.1,25.0,16,9,4,94.1
Meghan Agosta,367.85,2,3.73,-1.73,2,0,0,34,8,47,42,61,89.4,129.8,72.3,17.0,27,19,5,69.2
Laura Fortino,330.67,0,1.62,-1.62,0,0,0,6,4,15,10,26,66.7,173.3,40.0,26.7,16,12,1,64.0
Emily Clark,327.85,1,1.48,-0.48,2,33,62.3,10,7,21,17,24,81.0,114.3,47.6,33.3,11,5,4,91.7
Jocelyne Larocque,300.56,0,0.96,-0.96,1,0,0.0,4,13,18,17,12,94.4,66.7,22.2,72.2,7,4,1,63.6
Blayre Turnbull,269.82,0,1.1,-1.1,0,19,43.2,10,10,20,20,29,100.0,145.0,50.0,50.0,8,5,2,88.9
Renata Fast,269.17,0,0.19,-0.19,0,0,0,5,6,12,11,13,91.7,108.3,41.7,50.0,2,1,0,100.0
