game_date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,20:00,5,5,0,0,Olympic (Women) - Canada,Emily Clark,Faceoff Win,100,42,Backhand,,,,Lyudmila Belyakova,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Puck Recovery,91,67,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Dump In/Out,106,81,Retained,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:59,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Zone Entry,106,81,Dumped,,,,Liana Ganeyeva,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:53,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Puck Recovery,168,1,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:53,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Play,168,1,Indirect,,,,Laura Stacey,197,26
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:43,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Lyudmila Belyakova,Takeaway,4,64,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:43,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Lyudmila Belyakova,Play,4,64,Direct,,,,Maria Batalova,10,69
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:41,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Maria Batalova,Play,18,78,Direct,,,,Olga Sosina,42,82
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:40,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Olga Sosina,Play,58,82,Indirect,,,,Valeria Pavlova,104,8
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:37,5,5,0,0,Olympic (Women) - Olympic Athletes from Russia,Valeria Pavlova,Zone Entry,124,2,Carried,,,,Meaghan Mikkelson,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:36,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Puck Recovery,64,83,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:32,5,5,0,0,Olympic (Women) - Canada,Meaghan Mikkelson,Play,8,68,Direct,,,,Laura Stacey,27,64
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:29,5,5,0,0,Olympic (Women) - Canada,Laura Stacey,Play,68,56,Direct,,,,Sarah Nurse,83,10
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:27,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Dump In/Out,97,3,Lost,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:27,5,5,0,0,Olympic (Women) - Canada,Sarah Nurse,Zone Entry,97,3,Dumped,,,,Angelina Goncharenko,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:26,5,5,0,0,Olympic (Women) - Canada,Marie-Philip Poulin,Faceoff Win,80,20,Backhand,,,,Yelena Dergachyova,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:24,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Puck Recovery,61,21,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:22,5,5,0,0,Olympic (Women) - Canada,Renata Fast,Incomplete Play,41,33,Direct,,,,Meghan Agosta,65,75
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:19,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Puck Recovery,113,84,,,,,,,
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:19,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Play,113,84,Direct,,,,Marie-Philip Poulin,125,31
2018-02-11,Olympic (Women) - Canada,Olympic (Women) - Olympic Athletes from Russia,1,19:18,5,5,0,0,Olympic (Women) - Canada,Melodie Daoust,Zone Entry,125,31,Played,,,,Angelina Goncharenko,,
